55414	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0
22957	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1
48117	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
22961	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0
15853	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0
51692	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
42582	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
32931	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0
6323	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	1
24793	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0
